supplier_id,env_score,social_score,governance_score,last_update,data_source
S0881,,48.91,78.69,2025-07-10,Third-party Rating
S0882,66.95,64.68,64.03,2024-12-05,Supplier Questionnaire
S0883,57.21,62.36,75.49,2025-06-10,Internal Assessment
S0884,59.45,89.52,76.77,2025-02-14,Supplier Questionnaire
S0885,53.06,60.63,64.76,2024-07-15,Supplier Questionnaire
S0886,,60.04,60.18,2025-01-28,Internal Assessment
S0887,67.83,72.06,65.76,2025-09-06,Internal Assessment
S0888,67.86,78.52,71.51,2024-05-19,Third-party Rating
S0889,52.08,82.45,65.96,2024-07-12,Internal Assessment
S0890,68.54,71.76,72.17,2024-07-14,Third-party Rating
S0891,,58.82,70.26,2025-04-17,Supplier Questionnaire
S0892,65.02,56.39,70.25,2024-03-26,Supplier Questionnaire
S0893,64.26,71.97,71.67,2025-03-30,Supplier Questionnaire
S0894,96.0,78.74,69.89,2024-10-07,Internal Assessment
S0895,73.73,45.93,,2024-10-26,Third-party Rating
S0896,83.17,67.1,69.57,2024-01-19,Internal Assessment
S0897,64.89,47.8,,2024-03-02,Third-party Rating
S0898,57.86,63.06,61.0,2025-10-30,Third-party Rating
S0899,72.36,76.13,64.53,2025-01-06,Supplier Questionnaire
S0900,80.54,78.99,72.94,2025-06-14,Supplier Questionnaire
S0901,62.08,53.09,56.83,2024-02-18,Internal Assessment
S0902,68.36,53.9,75.52,2025-09-06,Supplier Questionnaire
S0903,85.08,73.48,77.88,2025-05-03,Supplier Questionnaire
S0904,73.89,70.77,85.91,2025-03-19,Supplier Questionnaire
S0905,71.18,55.65,59.18,2025-02-12,Supplier Questionnaire
S0906,71.89,53.99,73.08,2024-11-18,Supplier Questionnaire
S0907,64.73,35.1,58.17,2025-07-09,Supplier Questionnaire
S0908,60.16,45.42,75.64,2024-02-08,Third-party Rating
S0909,49.34,39.46,62.79,2024-04-23,Supplier Questionnaire
S0910,62.26,87.42,67.01,2025-02-12,Supplier Questionnaire
S0911,55.98,38.76,62.88,2024-02-27,Supplier Questionnaire
S0912,70.16,71.52,75.04,2024-07-16,Supplier Questionnaire
S0913,85.4,47.54,,2025-05-03,Internal Assessment
S0914,70.14,56.38,38.91,2024-02-05,Third-party Rating
S0915,80.56,,61.38,2024-10-07,Supplier Questionnaire
S0916,58.71,64.23,67.58,2024-07-17,Supplier Questionnaire
S0917,68.69,61.88,74.35,2025-01-24,Third-party Rating
S0918,64.71,28.49,61.07,2025-08-12,Supplier Questionnaire
S0919,50.74,57.75,64.96,2025-11-14,Supplier Questionnaire
S0920,55.21,71.12,63.45,2025-07-11,Supplier Questionnaire
S0921,75.91,64.92,65.37,2025-01-01,Supplier Questionnaire
S0922,55.01,58.11,63.01,2024-10-23,Internal Assessment
S0923,96.0,58.12,66.14,2025-08-12,Third-party Rating
S0924,73.16,71.38,88.51,2025-05-25,Third-party Rating
S0925,63.44,,73.77,2025-04-11,Supplier Questionnaire
S0926,83.68,67.12,63.58,2025-03-04,Supplier Questionnaire
S0927,67.98,54.89,78.76,2024-12-27,Third-party Rating
S0928,78.54,64.4,,2024-10-26,Supplier Questionnaire
S0929,74.19,67.09,54.31,2024-06-23,Third-party Rating
S0930,57.61,40.68,59.47,2024-08-22,Supplier Questionnaire
S0931,58.88,50.14,49.36,2024-09-10,Third-party Rating
S0932,96.23,77.53,79.6,2025-07-06,Supplier Questionnaire
S0933,84.91,59.18,79.83,2024-06-28,Internal Assessment
S0934,69.52,,,2024-07-03,Supplier Questionnaire
S0935,81.91,96.05,61.2,2025-09-23,Supplier Questionnaire
S0936,81.99,,66.16,2024-01-12,Third-party Rating
S0937,48.3,39.85,51.02,2025-07-30,Third-party Rating
S0938,66.79,70.13,57.28,2025-08-09,Third-party Rating
S0939,84.19,70.99,54.05,2025-08-13,Third-party Rating
S0940,76.63,66.18,50.48,2025-06-28,Third-party Rating
S0941,49.04,50.98,72.9,2025-11-09,Third-party Rating
S0942,67.31,89.16,77.06,2025-10-21,Supplier Questionnaire
S0943,60.91,55.25,71.72,2025-09-17,Supplier Questionnaire
S0944,77.54,58.14,71.47,2024-11-15,Third-party Rating
S0945,61.41,53.26,67.55,2025-03-11,Internal Assessment
S0946,,67.88,66.09,2024-03-06,Third-party Rating
S0947,59.9,68.35,76.26,2024-04-27,Supplier Questionnaire
S0948,80.4,78.85,72.84,2024-01-03,Supplier Questionnaire
S0949,,,62.79,2025-05-10,Supplier Questionnaire
S0950,71.91,48.69,66.72,2025-02-11,Third-party Rating
S0951,63.61,57.94,66.31,2025-12-30,Supplier Questionnaire
S0952,84.93,58.93,61.21,2024-04-26,Internal Assessment
S0953,60.87,52.38,65.88,2024-03-23,Supplier Questionnaire
S0954,74.71,69.04,72.23,2024-04-30,Third-party Rating
S0955,51.98,58.26,67.03,2025-12-23,Supplier Questionnaire
S0956,92.75,70.1,,2024-12-17,Supplier Questionnaire
S0957,43.01,59.41,71.52,2025-11-16,Third-party Rating
S0958,72.75,69.9,73.2,2025-02-05,Internal Assessment
S0959,66.6,78.74,58.31,2024-12-07,Third-party Rating
S0960,65.95,63.46,73.37,2025-01-19,Supplier Questionnaire
S0961,62.1,42.03,,2025-06-23,Supplier Questionnaire
S0962,69.96,,62.67,2024-08-19,Internal Assessment
S0963,64.04,70.19,79.88,2024-12-18,Internal Assessment
S0964,76.4,70.35,72.17,2025-12-06,Supplier Questionnaire
S0965,75.09,58.31,64.72,2025-05-08,Internal Assessment
S0966,,79.24,76.64,2024-03-05,Supplier Questionnaire
S0967,,65.28,78.16,2024-04-26,Third-party Rating
S0968,57.87,62.74,46.3,2024-11-23,Third-party Rating
S0969,68.01,72.94,78.93,2024-01-15,Supplier Questionnaire
S0970,64.49,72.11,52.71,2024-07-19,Internal Assessment
S0971,74.4,76.8,,2024-10-13,Third-party Rating
S0972,66.11,62.67,52.72,2025-11-30,Supplier Questionnaire
S0973,60.48,65.08,58.22,2025-09-16,Supplier Questionnaire
S0974,80.5,48.99,,2024-05-19,Internal Assessment
S0975,61.36,75.51,63.62,2024-08-22,Third-party Rating
S0976,81.45,79.2,,2025-11-11,Internal Assessment
S0977,63.3,50.85,,2024-12-02,Internal Assessment
S0978,52.1,,41.34,2025-10-16,Supplier Questionnaire
S0979,62.29,,64.83,2024-01-28,Supplier Questionnaire
S0980,56.83,43.23,71.14,2024-02-08,Internal Assessment
S0981,78.88,60.64,72.49,2024-10-30,Supplier Questionnaire
S0982,71.84,47.63,52.41,2024-05-06,Internal Assessment
S0983,73.56,,50.85,2025-11-13,Supplier Questionnaire
S0984,90.68,90.99,72.26,2024-01-29,Supplier Questionnaire
S0985,,,72.78,2024-08-22,Third-party Rating
S0986,88.99,69.15,68.25,2024-04-03,Third-party Rating
S0987,62.63,66.92,75.81,2024-12-29,Supplier Questionnaire
S0988,61.52,76.49,,2025-09-25,Internal Assessment
S0989,70.73,73.5,84.64,2024-04-09,Supplier Questionnaire
S0990,72.82,69.96,,2024-01-15,Supplier Questionnaire
S0991,73.3,90.64,74.35,2025-08-21,Third-party Rating
S0992,65.8,69.44,,2025-05-09,Supplier Questionnaire
S0993,73.83,69.44,54.54,2025-11-27,Third-party Rating
S0994,82.45,54.51,80.71,2024-04-02,Third-party Rating
S0995,70.89,83.26,72.59,2024-05-25,Supplier Questionnaire
S0996,89.83,57.49,73.3,2024-10-28,Third-party Rating
S0997,53.06,90.19,82.33,2025-07-17,Internal Assessment
S0998,73.33,74.82,65.56,2025-09-01,Supplier Questionnaire
S0999,68.16,81.1,60.54,2024-04-24,Third-party Rating
S1000,40.68,48.56,53.94,2024-03-01,Internal Assessment
